Restaurant,Review,Points,Sentiment
Brasserie Louis,"When you are a ""regular"" reading my reviews, you will find out that this another ""loud"" one. Visiting the place mid week, we were 1st time visitors, we did not find the place crowded. Some people were having drinks at the bar (little group of...More",4.0,1
Brasserie Louis,"Anyone who reads my reviews knows that I always try to find something positive, and shy away from any sort of criticism that isn't constructive.  Unfortunately, we had a very negative experience here, and I feel obliged to share it, especially as other travelers have...More",2.0,0
Brasserie Louis,"The food is absolutely great. The place is packed every Night - if you are a bigger crowd I recommend you reserve a table. 
Service is good, food takes a while to be served, but worth waiting for. 
I can recommend the ""steak frites"" and...More",4.0,1
Brasserie Louis,I was eating dinner with a friend of mine on a sunday evening at the brasserie louis. We wanted to eat there because we both like french cuisine. The weather was nice so we decided to sit outside. We were quickly given the menu which...More,3.0,1
Brasserie Louis,"Terrific onion soup, fillet of lamb perfectly cooked and seasoned over delicious ratatouille, and a great Swiss red wine. A perfect meal served by attentive and friendly waitstaff.",5.0,1
Brasserie Louis,"We've been to Brasserie Louis not for the first time. From the beginning it was ok, food was good, the wine was tasty, the waitress was friendly. Until the ""drama Quinn"" coming to clean up our table. She was SO rude! No polite and no...More",1.0,0
Brasserie Louis,I love to go to Louis! Service is extremely friendly and efficient. You will find all the Brasserie standards on the menu. If I have a regret it is that the wine selection is rather small - especially on wine by the glass. Personally for...More,4.0,1
Brasserie Louis,When every lunch and dinner in Switzerland seems to cost nearly $100 for two (with plenty of shared dishes and a glass of wine each) Brasserie Louis was a $100 dinner worth the price. We came across this pretty Parisian style cafe on our last...More,5.0,1
Brasserie Louis,"We made an impromptu visit to Brasserie Louis as we were passing through the old part of the city. 

It was very quiet but still had charming personality with tiles on the wall and old style French bistro tables. 

The menu was simple but the...More",4.0,1
Brasserie Louis,"On a recent visit to Switzerland this year, my colleagues and I decided to make use of the good weather and eat al fresco. This restaurant seemed to work for all of us with ample outdoor seating options.

The Food:
I ordered a starter of...More",3.0,1
Brasserie Louis,downtown old Zurich. The style looks very parisian indeed. The food was ok. I had sliced veal with mushrooms in a greavy sauce served with the famous Rösti (grated and roasted potatoes as a galette). Well cooked and pretty good. The only thing that is...More,4.0,1
Brasserie Louis,"Zurich is unrelenting.  Efficient, tidyish, busy and oh, so very Swiss.
 
Buried away in the old town is a small slice of France.

The owners have   made a serious and somewhat successful effort to re-create the ambience and décor of a French brasserie. It has...More",5.0,1
Brasserie Louis,"Excellent place for a bit better dinner/lunch. We enjoyed excellent goat cheese salad for a starter and tartar hamburgers for main course. Place is a bit picey, but worth every penny, food was really good and the service too.",4.0,1
Brasserie Louis,We visited this restaurant with business friends for lunch. It was lovely to sit outside. The tables are a bit cramped outside which is a shame. Service was good and friendly. Menus are both in German and English which is useful. There is a nice...More,4.0,1
Brasserie Louis,"Very good service, lovely building, pricey but good food and wine but then it is Switzerland! Good location by bars etc",4.0,1
Brasserie Louis,"Ended up at Brasserie Louis for lunch one day when wandering about the city.  Offering mostlly classic bistro dishes, I went for the excellent mussels façon du chef (with Pernod, tomato concassé, scallions, cream, chives and parsley).  Others had the veal Geschnetzeltes with Rösti and...More",4.0,1
Brasserie Louis,"We were looking for a restaurant ,other than Italian cuisine , in the old part of Zurich for lunch and can across Brasserie Louis - which is a gem!

The interior of the Restaurant is typically French in decor and the overall ambience is pleasant....More",4.0,1
Brasserie Louis,The physical plant is very well done and the food was good.  The service was a horror show.  Our waiter was a clumsy eastern European.  Perhaps it was his first night waiting tables.  The sweat was running off his face like he just ran a...More,3.0,1
Brasserie Louis,"Friendly and attentive service. We all ordered the mussels and really enjoyed them. Great location as well. Sitting outside and people watching, with excellent food and wine was simply lovely. The price was very good for the quality of food, especially in Zurich.More",5.0,1
